name,verification_url,image_path_relative_to_root,image_path_relative_to_badges,pdf_path_relative_to_root,pdf_path_relative_to_badges,skills
Google Cybersecurity Professional Certificate(v.2),https://www.credly.com/go/gY0HWDU0,badges/google-cybersecurity-professional-certificate-v-2.png,google-cybersecurity-professional-certificate-v-2.png,badges/GoogleCybersecurityProfessionalCertificatev.2_Badge20260802-8-3gs16g.pdf,GoogleCybersecurityProfessionalCertificatev.2_Badge20260802-8-3gs16g.pdf,Career Development; Attacks; Exploits; Introduction To Linux; Security Fundamentals
IBM RAG and Agentic AI Professional Certificate V3,https://www.credly.com/go/EeVhlD6S,badges/ibm-rag-and-agentic-ai-professional-certificate-v3.png,ibm-rag-and-agentic-ai-professional-certificate-v3.png,badges/IBMRAGandAgenticAIProfessionalCertificateV3_Badge20260802-8-jhf1d2.pdf,IBMRAGandAgenticAIProfessionalCertificateV3_Badge20260802-8-jhf1d2.pdf,Business Process Automation; ChatGPT; Databases; Generative AI; Prompt Engineering; Agentic Systems; Full-Stack Web Development; Generative AI Agents; Large Language Modeling; MCP; Model Contect Protocol; OpenAI; Semantic Web; User Interface (UI)
Google Data Analytics Professional Certificate(v.3),https://www.credly.com/go/4UWzTr5X,badges/google-data-analytics-professional-certificate-v-3.png,google-data-analytics-professional-certificate-v-3.png,badges/GoogleDataAnalyticsProfessionalCertificatev.3_Badge20260802-8-hi1xec.pdf,GoogleDataAnalyticsProfessionalCertificatev.3_Badge20260802-8-hi1xec.pdf,Case Studies; Communication Skills; Data Analysis; Data Cleansing; Data Ethics; Data Presentation; Data Storytelling; Data Structures; Data Validation; Data Visualization; Discussion Facilitation; File Management; Giving Presentations; Interviewing Skills; Learning Development; Lifelong Learning; Object Oriented Programming (OOP); Professionalism; Interactive Data Visualization; Introduction To Data Analytics; Introduction To Databases; Sampling (Statistics); Spreadsheet Software; Stakeholders Communications; Web Presence
Google AI Professional Certificate,https://www.credly.com/go/r5YhiJ4n,badges/google-ai-professional-certificate.png,google-ai-professional-certificate.png,badges/GoogleAIProfessionalCertificate_Badge20260802-8-synn91.pdf,GoogleAIProfessionalCertificate_Badge20260802-8-synn91.pdf,Artificial Intelligence (AI); Prompt Engineering; AI Acumen; AI for brainstorming and planning; AI for content creation; AI for Data Analysis; AI for research and insights; AI for writing and communicating; Responsible AI; vibe coding
Building AI Agents and Agentic Workflows Specialization,https://www.credly.com/go/oFlA9IJC,badges/building-ai-agents-and-agentic-workflows-specializa.png,building-ai-agents-and-agentic-workflows-specializa.png,badges/BuildingAIAgentsandAgenticWorkflowsSpecialization_Badge20260802-8-30jfuv.pdf,BuildingAIAgentsandAgenticWorkflowsSpecialization_Badge20260802-8-30jfuv.pdf,AI Agents; Large Language Models (LLMs); Prompt Engineering; Agent Evaluation; Agent Frameworks; Agentic AI; Agentic Systems; AI Orchestration; AI Reasoning; AI Security; AI Workflows; AutoGen (AG2); Autonomous Agents; BeeAI; Context Management; CrewAI; Design Patterns; LangGraph; Multi-Agent Systems; Tool Calling
Advanced RAG with Vector Databases and Retrievers,https://www.credly.com/go/Sf39C6H5,badges/advanced-rag-with-vector-databases-and-retrievers.png,advanced-rag-with-vector-databases-and-retrievers.png,badges/AdvancedRAGwithVectorDatabasesandRetrievers_Badge20260802-8-12pvjj.pdf,AdvancedRAGwithVectorDatabasesandRetrievers_Badge20260802-8-12pvjj.pdf,Gradio; LangChain; Vector Databases; ChromaDB; Context-Aware Information Retrieval; FAISS; Hierarchichal Navigable Small World (HNSW); Indexing Methods; LlamaIndex; Retrieval-augmented Generation (RAG); Semantic Search; Similarity Search
Agentic AI with LangChain and LangGraph,https://www.credly.com/go/N0LO0GO9,badges/agentic-ai-with-langchain-and-langgraph.png,agentic-ai-with-langchain-and-langgraph.png,badges/AgenticAIwithLangChainandLangGraph_Badge20260802-8-mwbn0w.pdf,AgenticAIwithLangChainandLangGraph_Badge20260802-8-mwbn0w.pdf,AI Agents; LangChain; Agentic AI; LangGraph; Multi-Agent Systems; ReAct Agents; Reflection Agents; Reflexion Agents
"Agentic AI with LangGraph, CrewAI, AutoGen and BeeAI",https://www.credly.com/go/I7Au3TMA,badges/agentic-ai-with-langgraph-crewai-autogen-and-beeai.png,agentic-ai-with-langgraph-crewai-autogen-and-beeai.png,badges/AgenticAIwithLangGraph_CrewAI_AutoGenandBeeAI_Badge20260802-8-fo682g.pdf,AgenticAIwithLangGraph_CrewAI_AutoGenandBeeAI_Badge20260802-8-fo682g.pdf,AI Agents; Large Language Models (LLMs); Agent Frameworks; Agentic AI; Agentic Systems; AI Orchestration; AI Workflows; AutoGen (AG2); Autonomous Agents; BeeAI; CrewAI; LangGraph; Multi-Agent Systems; Tool Calling
Build AI Agents Using MCP,https://www.credly.com/go/u8w4MkZQ,badges/build-ai-agents-using-mcp.png,build-ai-agents-using-mcp.png,badges/BuildAIAgentsUsingMCP_Badge20260802-8-d9ssa7.pdf,BuildAIAgentsUsingMCP_Badge20260802-8-d9ssa7.pdf,FastMCP Library Usage; LLM Tool Integration; MCP Client Development; MCP Server Development; Multi-Server Integration; ReAct Agent Implementation; STDIO and HTTP Transport Configuration
Build Multimodal Generative AI Applications,https://www.credly.com/go/32p5lfJH,badges/build-multimodal-generative-ai-applications.png,build-multimodal-generative-ai-applications.png,badges/BuildMultimodalGenerativeAIApplications_Badge20260802-8-4tsfpq.pdf,BuildMultimodalGenerativeAIApplications_Badge20260802-8-4tsfpq.pdf,DALL·E; Generative AI; Gradio; LangChain; AI Deployment; Flask; Hugging Face; Image Captioning; Meta Llama; Multimodal AI; OpenAI Whisper; Speech-to-Text; Text-to-Image; Text-To-Speech; Video Generation
