name,provider,verification_url,pdf_path_relative_to_root,pdf_path_relative_to_course_certificates,skills,what_was_learnt
Build Multimodal Generative AI Applications,IBM,https://coursera.org/verify/56U0LF5TZQBL,course-certificates/build-multimodal-generative-ai-applications.pdf,build-multimodal-generative-ai-applications.pdf,Multimodal Prompts; AI Integrations; Web Applications; Prompt Engineering; Software Development; Web Development; AI Personalization; LLM Application; AI powered creativity; Embeddings; OpenAI API; Retrieval-Augmented Generation,"Build the job-ready skills you need to build multimodal generative AI applications in just 3 weeks | Understand the fundamental concepts and challenges in multimodal AI, including the integration of text, speech, images, and video | Build multimodal AI applications using state-of-the-art models and frameworks such as IBM’s Granite, Meta’s Llama, OpenAI’s Whisper, DALL·E and Sora | Develop multimodal AI solutions, including chatbots and image/video generation models, using IBM watsonx.ai, Hugging Face, Flask and Gradio"
Develop Generative AI Applications: Get Started,IBM,https://coursera.org/verify/G22SMVROEBMJ,course-certificates/develop-generative-ai-applications-get-started.pdf,develop-generative-ai-applications-get-started.pdf,Software Development; AI Workflows; Prompt Engineering; Tool Calling; LLM Application; Generative AI; AI Integrations; LangChain; Prompt Patterns; Agentic systems; Large Language Modeling; Generative AI Agents,"Master the basics of  GenAI and the LangChain framework, focusing on how prompt engineering and in-context learning to enhance AI interactions | Apply prompt templates, chains, and agents to create flexible and context-aware AI applications using LangChain's modular approach | Develop a GenAI web application with Flask, integrating advanced features such as JSON output parsing for structured AI responses | Evaluate and compare different language models to select the most suitable for specific use cases, ensuring optimal performance and reliability"
MLOps and responsible AI practices,Microsoft,https://coursera.org/verify/3ROS01ZNHE3F,course-certificates/mlops-and-responsible-ai-practices.pdf,mlops-and-responsible-ai-practices.pdf,Microsoft Azure; Git (Version Control System); Model Training; Continuous Monitoring; Model Deployment; Azure DevOps Pipelines; MLOps (Machine Learning Operations); AI Workflows; Data Ethics; Version Control; Continuous Integration; Generative AI,
Multimodal and cross-modal AI integrations,Microsoft,https://coursera.org/verify/A0FEGXN51FIB,course-certificates/multimodal-and-cross-modal-ai-integrations.pdf,multimodal-and-cross-modal-ai-integrations.pdf,LLM Application; AI Orchestration; AI Integrations; Prompt Patterns; Generative AI; Application Design; Computer Vision; AI Workflows; Multimodal Prompts; Software Architecture; Artificial Intelligence; Prompt Engineering,
Fundamentals of Building AI Agents,IBM,https://coursera.org/verify/31K5NRORL9KK,course-certificates/fundamentals-of-building-ai-agents.pdf,fundamentals-of-building-ai-agents.pdf,LangChain; Application Development; Data Visualization; Generative AI Agents; LLM Application; Analytics; Tool Calling; Artificial Intelligence and Machine Learning (AI/ML); AI Workflows; Agentic systems; Agentic Workflows; Software Development,"Develop AI agents that can reason and perform tasks independently | Implement tool calling and chaining to create structured AI workflows | Utilize built-in LangChain agents to analyze data, generate visualizations, and execute database queries | Apply best practices in prompt engineering and tool calling to enhance AI agent performance"
Agentic AI with LangChain and LangGraph,IBM,https://coursera.org/verify/FA777GZ8O9FU,course-certificates/agentic-ai-with-langchain-and-langgraph.pdf,agentic-ai-with-langchain-and-langgraph.pdf,Responsible AI; Software Development; LangChain; Tool Calling; AI Workflows; Artificial Intelligence and Machine Learning (AI/ML); Data Science; Generative AI; Generative AI Agents; AI Orchestration; Risking; Context Management,"Build agentic AI systems using LangChain and LangGraph to support memory, iteration, and conditional logic | Design and implement self-improving agents using Reflection, Reflexion, and ReAct architectures | Apply agent orchestration techniques to build collaborative multi-agent systems | Implement agentic RAG systems that route queries and support retrieval-enhanced reasoning"
"Agentic AI with LangGraph, CrewAI, AutoGen and BeeAI",IBM,https://coursera.org/verify/CQ7IUOX1B0VT,course-certificates/agentic-ai-with-langgraph-crewai-autogen-and-beeai.pdf,agentic-ai-with-langgraph-crewai-autogen-and-beeai.pdf,Agentic Workflows; Software Design Patterns; AI Integrations; AI Workflows; Large Language Modeling; LLM Application; AI Orchestration; Agentic systems; Generative AI Agents; Memory Management; Tool Calling,"Design optimized AI systems by selecting and combining appropriate agentic frameworks and architectural patterns | Implement AI workflow patterns using agentic design principles and LangGraph | Build structured multi-agent workflows using CrewAI, including agents, tasks, and custom tools | Develop AI applications with BeeAI and design conversation-driven interactions using AG2 (AutoGen)"
Build AI Agents using MCP,IBM,https://coursera.org/verify/O0TT4PZRCLE8,course-certificates/build-ai-agents-using-mcp.pdf,build-ai-agents-using-mcp.pdf,AI Orchestration; JSON; Requirements Elicitation; Authorization (Computing); Context Management; Agentic systems; Agentic Workflows; AI Security; Responsible AI; AI Integrations,"Explain the architecture, components, and use cases of the Model Context Protocol (MCP), and how it differs from traditional APIs and tool calling | Build and run MCP servers using FastMCP, configuring tools, resources, and prompts to support AI applications such as retrieval-augmented generation | Develop MCP clients that connect to single and multiple servers using STDIO and Streamable HTTP for structured, context-aware LLM interactions | Implement secure, interactive MCP workflows by applying sampling, roots, and permission-based user-approval mechanisms for multi-agent applications"
Foundations of Cybersecurity,Google,https://coursera.org/verify/93B0P7T1SKO4,course-certificates/foundations-of-cybersecurity.pdf,foundations-of-cybersecurity.pdf,Security Information and Event Management (SIEM); Network Analysis; Cyber Attacks; Security Strategy; Security Controls; Data Ethics; Security Management; Information Assurance; Cyber Risk; Cybersecurity,Recognize core skills and knowledge needed to become a cybersecurity analyst | Identify how security attacks impact business operations | Explain security ethics | Identify common tools used by cybersecurity analysts
Build RAG Applications: Get Started,IBM,https://coursera.org/verify/0KFFI06HFDAC,course-certificates/build-rag-applications-get-started.pdf,build-rag-applications-get-started.pdf,Model Deployment; Embeddings; Large Language Modeling; LLM Application; AI Workflows; Prompt Patterns; Prompt Engineering; Data Processing; Document Management; Vector Databases; Retrieval-Augmented Generation,"Develop a practical understanding of Retrieval-Augmented Generation (RAG) | Design user-friendly, interactive interfaces for RAG applications using Gradio | Learn about LlamaIndex, its uses in building RAG applications, and how it contrasts with LangChain | Build RAG applications using LangChain and LlamaIndex in Python"
